<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.FIXP:TQBR,D,20210714,000000,632.2000000,634.4000000,612.7000000,617.3000000,103907
MOEX.FIXP:TQBR,D,20210715,000000,617.6000000,620.5000000,605.5000000,617.0000000,100774
MOEX.FIXP:TQBR,D,20210716,000000,618.0000000,618.0000000,602.0000000,605.0000000,164100
MOEX.FIXP:TQBR,D,20210719,000000,608.9000000,615.0000000,595.5000000,602.0000000,146896
MOEX.FIXP:TQBR,D,20210720,000000,603.0000000,608.5000000,593.0000000,601.9000000,151571
MOEX.FIXP:TQBR,D,20210721,000000,602.0000000,603.4000000,585.6000000,587.9000000,179115
MOEX.FIXP:TQBR,D,20210722,000000,588.0000000,588.0000000,569.0000000,576.6000000,196391
MOEX.FIXP:TQBR,D,20210723,000000,576.8000000,579.8000000,568.0000000,573.9000000,121833
MOEX.FIXP:TQBR,D,20210726,000000,574.4000000,576.5000000,560.0000000,565.9000000,134702
MOEX.FIXP:TQBR,D,20210727,000000,563.3000000,567.5000000,545.0000000,549.4000000,151198
MOEX.FIXP:TQBR,D,20210728,000000,550.9000000,557.0000000,538.3000000,547.9000000,197829
MOEX.FIXP:TQBR,D,20210729,000000,548.6000000,556.8000000,540.6000000,555.0000000,130991
MOEX.FIXP:TQBR,D,20210730,000000,555.0000000,569.3000000,554.5000000,567.0000000,178256
MOEX.FIXP:TQBR,D,20210802,000000,567.9000000,571.8000000,546.4000000,555.3000000,98894
MOEX.FIXP:TQBR,D,20210803,000000,555.3000000,557.3000000,545.0000000,556.0000000,99420
MOEX.FIXP:TQBR,D,20210804,000000,556.8000000,567.9000000,550.6000000,561.5000000,83416
MOEX.FIXP:TQBR,D,20210805,000000,561.5000000,574.0000000,555.0000000,574.0000000,67171
MOEX.FIXP:TQBR,D,20210806,000000,567.8000000,577.4000000,560.4000000,570.9000000,74970
MOEX.FIXP:TQBR,D,20210809,000000,575.0000000,584.2000000,570.3000000,581.9000000,99028
MOEX.FIXP:TQBR,D,20210810,000000,586.0000000,591.0000000,581.1000000,590.5000000,49510
MOEX.FIXP:TQBR,D,20210811,000000,589.4000000,594.0000000,573.3000000,584.0000000,105451
MOEX.FIXP:TQBR,D,20210812,000000,602.3000000,614.6000000,584.0000000,610.0000000,566487
MOEX.FIXP:TQBR,D,20210813,000000,610.0000000,639.9000000,602.4000000,629.0000000,358467
MOEX.FIXP:TQBR,D,20210816,000000,629.0000000,644.9000000,623.2000000,642.7000000,171545
MOEX.FIXP:TQBR,D,20210817,000000,642.6000000,675.0000000,633.7000000,670.0000000,507144
MOEX.FIXP:TQBR,D,20210818,000000,667.0000000,680.0000000,654.0000000,665.7000000,243962
MOEX.FIXP:TQBR,D,20210819,000000,670.0000000,697.0000000,661.1000000,683.6000000,331285
MOEX.FIXP:TQBR,D,20210820,000000,689.4000000,703.8000000,668.0000000,674.1000000,174387
