<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.GLTR:TQBR,D,20210427,000000,482.7500000,490.3000000,481.0000000,487.0000000,707910
MOEX.GLTR:TQBR,D,20210428,000000,466.0000000,471.5000000,456.2500000,468.9000000,1136300
MOEX.GLTR:TQBR,D,20210429,000000,467.9500000,470.5500000,462.0000000,464.0000000,256920
MOEX.GLTR:TQBR,D,20210430,000000,463.9500000,469.8500000,461.7500000,468.7000000,236350
MOEX.GLTR:TQBR,D,20210504,000000,469.5000000,470.2000000,462.0000000,464.1000000,204410
MOEX.GLTR:TQBR,D,20210505,000000,467.4000000,469.0500000,464.0000000,467.0000000,127690
MOEX.GLTR:TQBR,D,20210506,000000,468.9500000,468.9500000,463.7500000,465.1000000,113340
MOEX.GLTR:TQBR,D,20210507,000000,465.0500000,466.5000000,461.0500000,462.6000000,157270
MOEX.GLTR:TQBR,D,20210510,000000,464.4500000,464.4500000,460.8500000,464.3000000,116470
MOEX.GLTR:TQBR,D,20210511,000000,464.3000000,464.3000000,460.1500000,462.0000000,143820
MOEX.GLTR:TQBR,D,20210512,000000,464.7000000,464.8000000,461.0000000,463.0000000,223660
MOEX.GLTR:TQBR,D,20210513,000000,463.9000000,464.9000000,455.3500000,459.0000000,322160
MOEX.GLTR:TQBR,D,20210514,000000,459.6500000,462.9500000,456.0500000,458.1000000,153220
MOEX.GLTR:TQBR,D,20210517,000000,462.4000000,462.4000000,452.1000000,457.4500000,261150
MOEX.GLTR:TQBR,D,20210518,000000,455.1500000,457.0000000,451.5500000,455.3000000,265780
MOEX.GLTR:TQBR,D,20210519,000000,456.7500000,460.7000000,452.7000000,456.9500000,215140
MOEX.GLTR:TQBR,D,20210520,000000,456.9500000,459.0000000,453.2000000,456.8500000,220850
MOEX.GLTR:TQBR,D,20210521,000000,459.0000000,467.9000000,456.8000000,466.7000000,206760
MOEX.GLTR:TQBR,D,20210524,000000,468.9000000,478.1500000,467.7500000,475.7000000,463580
MOEX.GLTR:TQBR,D,20210525,000000,477.7500000,477.7500000,468.1000000,473.3000000,289180
MOEX.GLTR:TQBR,D,20210526,000000,475.0500000,476.9500000,466.4000000,470.0000000,254480
MOEX.GLTR:TQBR,D,20210527,000000,467.5500000,486.0500000,449.2500000,474.9500000,1561110
MOEX.GLTR:TQBR,D,20210528,000000,478.0000000,480.0000000,468.1500000,473.9000000,218010
MOEX.GLTR:TQBR,D,20210531,000000,474.5000000,479.7000000,474.5000000,479.0000000,108030
MOEX.GLTR:TQBR,D,20210601,000000,479.9500000,485.0000000,475.1500000,479.9500000,349340
MOEX.GLTR:TQBR,D,20210602,000000,480.2500000,484.0000000,475.0000000,479.6500000,331910
