<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TCSG,D,20210212,000000,3520.0000000,3560.0000000,3458.8000000,3559.0000000,453685
TCSG,D,20210215,000000,3600.0000000,3674.8000000,3495.0000000,3598.0000000,637986
TCSG,D,20210216,000000,3599.8000000,3776.0000000,3543.2000000,3758.4000000,603411
TCSG,D,20210217,000000,3785.0000000,3973.0000000,3740.0000000,3900.0000000,1074246
TCSG,D,20210218,000000,3883.0000000,3995.0000000,3794.0000000,3841.0000000,1044859
TCSG,D,20210219,000000,3858.0000000,4094.8000000,3776.0000000,4060.0000000,1045847
TCSG,D,20210220,000000,4100.0000000,4256.8000000,4060.0000000,4249.0000000,236017
TCSG,D,20210222,000000,4273.8000000,4433.2000000,4063.8000000,4192.0000000,1595334
TCSG,D,20210224,000000,4080.0000000,4092.4000000,3722.2000000,3825.0000000,1688400
TCSG,D,20210225,000000,3824.6000000,3970.2000000,3766.0000000,3899.8000000,1231862
TCSG,D,20210226,000000,3874.6000000,4030.0000000,3742.4000000,3857.0000000,6949386
TCSG,D,20210301,000000,3900.4000000,3930.0000000,3800.0000000,3888.0000000,340997
TCSG,D,20210302,000000,3888.0000000,3949.0000000,3800.2000000,3828.0000000,424856
TCSG,D,20210303,000000,3858.6000000,3876.0000000,3801.2000000,3820.8000000,452714
TCSG,D,20210304,000000,3821.0000000,3846.2000000,3636.0000000,3710.0000000,527183
TCSG,D,20210305,000000,3741.2000000,3911.8000000,3682.8000000,3805.0000000,443553
TCSG,D,20210309,000000,3756.0000000,3857.8000000,3676.4000000,3747.8000000,458340
TCSG,D,20210310,000000,3752.6000000,3879.2000000,3710.2000000,3755.4000000,425980
TCSG,D,20210311,000000,3799.2000000,3945.0000000,3615.8000000,3908.2000000,565344
TCSG,D,20210312,000000,3919.4000000,4342.2000000,3860.0000000,4309.8000000,845897
TCSG,D,20210315,000000,4389.8000000,4444.8000000,4251.0000000,4317.4000000,568262
TCSG,D,20210316,000000,4339.0000000,4625.0000000,4275.2000000,4513.6000000,809760
TCSG,D,20210317,000000,4553.0000000,4595.4000000,4380.4000000,4494.0000000,447003
TCSG,D,20210318,000000,4493.6000000,4559.4000000,4252.8000000,4280.2000000,449097
TCSG,D,20210319,000000,4297.4000000,4342.2000000,4201.0000000,4312.0000000,283432
TCSG,D,20210322,000000,4315.2000000,4460.0000000,4250.0000000,4425.0000000,177947
TCSG,D,20210323,000000,4445.0000000,4445.0000000,4241.4000000,4269.4000000,200448
TCSG,D,20210324,000000,4260.2000000,4360.0000000,4240.0000000,4289.6000000,197630
TCSG,D,20210325,000000,4275.8000000,4360.6000000,4262.6000000,4339.8000000,109386
TCSG,D,20210326,000000,4340.4000000,4456.8000000,4260.2000000,4337.8000000,228261
TCSG,D,20210329,000000,4305.2000000,4366.4000000,4258.0000000,4329.2000000,93142
TCSG,D,20210330,000000,4352.8000000,4589.0000000,4322.6000000,4475.2000000,350323
TCSG,D,20210331,000000,4518.6000000,4538.0000000,4382.0000000,4436.0000000,258063
TCSG,D,20210401,000000,4447.4000000,4615.0000000,4425.2000000,4568.8000000,371903
TCSG,D,20210402,000000,4569.0000000,4788.0000000,4521.2000000,4696.2000000,195568
TCSG,D,20210405,000000,4725.0000000,4798.0000000,4654.2000000,4733.6000000,175150
TCSG,D,20210406,000000,4731.6000000,4764.4000000,4629.2000000,4700.4000000,326895
TCSG,D,20210407,000000,4719.2000000,4721.0000000,4514.0000000,4590.8000000,400983
TCSG,D,20210408,000000,4591.0000000,4617.4000000,4516.2000000,4545.0000000,295268
TCSG,D,20210409,000000,4547.2000000,4675.4000000,4518.0000000,4558.8000000,236463
TCSG,D,20210412,000000,4558.6000000,4595.0000000,4470.0000000,4560.0000000,218528
TCSG,D,20210413,000000,4550.2000000,4600.0000000,4363.6000000,4450.0000000,423959
TCSG,D,20210414,000000,4440.2000000,4441.2000000,4320.0000000,4375.2000000,313616
TCSG,D,20210415,000000,4388.0000000,4422.6000000,4301.2000000,4354.8000000,220096
TCSG,D,20210416,000000,4353.6000000,4643.0000000,4312.4000000,4588.8000000,339821
TCSG,D,20210419,000000,4604.0000000,4648.0000000,4509.6000000,4560.6000000,179479
TCSG,D,20210420,000000,4560.6000000,4648.2000000,4350.0000000,4425.4000000,467509
TCSG,D,20210421,000000,4402.0000000,4425.0000000,4248.2000000,4354.8000000,516388
TCSG,D,20210422,000000,4347.6000000,4474.0000000,4277.0000000,4379.0000000,346954
TCSG,D,20210423,000000,4363.2000000,4521.8000000,4363.0000000,4463.2000000,260605
TCSG,D,20210426,000000,4496.8000000,4555.4000000,4380.0000000,4523.8000000,204000
TCSG,D,20210427,000000,4529.8000000,4584.6000000,4461.0000000,4477.0000000,264151
TCSG,D,20210428,000000,4485.0000000,4504.2000000,4345.0000000,4420.0000000,286946
TCSG,D,20210429,000000,4423.0000000,4480.0000000,4254.0000000,4319.0000000,310015
TCSG,D,20210430,000000,4315.6000000,4440.0000000,4260.0000000,4361.4000000,304498
TCSG,D,20210504,000000,4365.2000000,4446.0000000,4310.0000000,4444.0000000,236303
TCSG,D,20210505,000000,4463.0000000,4470.0000000,4405.0000000,4454.8000000,149648
TCSG,D,20210506,000000,4461.2000000,4520.0000000,4392.2000000,4512.0000000,205082
TCSG,D,20210507,000000,4530.2000000,4548.0000000,4454.2000000,4523.8000000,152553
TCSG,D,20210510,000000,4526.8000000,4930.0000000,4508.0000000,4827.4000000,509734
